hex(SHA1(advertiser_id))	timestamp	latitude	longitude	altitude	speed	ipv_4	ipv_6	country	user_agent	wifi_ssid	wifi_bssid	geohash_12	iso_date	device_mac	oui_vendor
FBA1018153EC88F87DBC79A8F1F850B2F4A96BED	1584921745	-34.643932	-58.66842	61.108643	0.8013427	190.244.73.211		AR	9			69y6bvqbqy8p	2020-03-23		
FBA1018153EC88F87DBC79A8F1F850B2F4A96BED	1584922384	-34.64378	-58.668438	0	0	190.244.73.211		AR	9			69y6bvqcq72f	2020-03-23		
FBA1018153EC88F87DBC79A8F1F850B2F4A96BED	1584923551	-34.643772	-58.66844	0	0	190.244.73.211		AR	9			69y6bvqcqhzg	2020-03-23		
FBA1018153EC88F87DBC79A8F1F850B2F4A96BED	1584927004	-34.6438	-58.668438	0	0	190.244.73.211		AR	9			69y6bvqcnrfs	2020-03-23		
FBA1018153EC88F87DBC79A8F1F850B2F4A96BED	1584934329	-34.643856	-58.6684	0	0.0019072746	190.244.73.211		AR	9			69y6bvqbzjqx	2020-03-23		
FBA1018153EC88F87DBC79A8F1F850B2F4A96BED	1584936228	-34.64385	-58.668427	0	0	190.244.73.211		AR	9			69y6bvqbyw66	2020-03-23		
FBA1018153EC88F87DBC79A8F1F850B2F4A96BED	1584974184	-34.643894	-58.668404	43.53351	1.0319823	190.244.73.211		AR	9			69y6bvqbxnhk	2020-03-23		
FBA1018153EC88F87DBC79A8F1F850B2F4A96BED	1584974794	-34.643814	-58.668427	43.899998	0	190.244.73.211		AR	9			69y6bvqcnt5w	2020-03-23		
FBA1018153EC88F87DBC79A8F1F850B2F4A96BED	1584981321	-34.643936	-58.668457	0	0	190.244.73.211		AR	9			69y6bvqbmykf	2020-03-23		
FBA1018153EC88F87DBC79A8F1F850B2F4A96BED	1584985190	-34.643795	-58.66844	0	0.0036868611	190.244.73.211		AR	9			69y6bvqcq0ws	2020-03-23		
FBA1018153EC88F87DBC79A8F1F850B2F4A96BED	1584985806	-34.643776	-58.66844	43.8	0	190.244.73.211		AR	9			69y6bvqcqhpg	2020-03-23		
FBA1018153EC88F87DBC79A8F1F850B2F4A96BED	1584987966	-34.64379	-58.66844	0	0	190.244.73.211		AR	9			69y6bvqcq0yn	2020-03-23		
FBA1018153EC88F87DBC79A8F1F850B2F4A96BED	1584992568	-34.643772	-58.66844	0	0	190.244.73.211		AR	9			69y6bvqcqhzg	2020-03-23		
FBA1018153EC88F87DBC79A8F1F850B2F4A96BED	1584994812	-34.6438	-58.668453	50.151978	0.012538783	190.244.73.211		AR	9			69y6bvqcjzye	2020-03-23		
FBA1018153EC88F87DBC79A8F1F850B2F4A96BED	1584997368	-34.644005	-58.668495	33.328247	0.026679542	190.244.73.211		AR	9			69y6bvqbhcx4	2020-03-23		
ED5650140CD2A9DCA941D2F55FFED9922693ACBD	1584929343	-34.335552	-58.746155	0	0	170.81.212.221		AR	9			69yhxjqkgmmr	2020-03-23		
ED5650140CD2A9DCA941D2F55FFED9922693ACBD	1584937174	-34.335552	-58.746155	0	0	170.81.212.221		AR	9			69yhxjqkgmmr	2020-03-23		
ED5650140CD2A9DCA941D2F55FFED9922693ACBD	1584977483	-34.335552	-58.746155	0	0	170.81.212.221		AR	9			69yhxjqkgmmr	2020-03-23		
ED5650140CD2A9DCA941D2F55FFED9922693ACBD	1584995663	-34.335552	-58.746155	0	0	170.81.212.221		AR	9			69yhxjqkgmmr	2020-03-23		
ED5650140CD2A9DCA941D2F55FFED9922693ACBD	1584996345	-34.335552	-58.746155	0	0	170.81.212.221		AR	9			69yhxjqkgmmr	2020-03-23		
ED5650140CD2A9DCA941D2F55FFED9922693ACBD	1584997014	-34.335552	-58.746155	0	0	170.81.212.221		AR	9			69yhxjqkgmmr	2020-03-23		
ED5650140CD2A9DCA941D2F55FFED9922693ACBD	1584999543	-34.335552	-58.746155	0	0	170.81.212.221		AR	9			69yhxjqkgmmr	2020-03-23		
94541B933C33D49C1D0ACE982FC2BFDD12EC8873	1584922732	-34.441463	-58.908627	0	0	181.46.143.13	FE80::CCE1:65FF:FE7E:5D45	AR	"Mozilla/5.0 (Linux; Android 7.0; Moto G (4) Build/NPJS25.934-8.1-9; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/80.0.3987.132 Mobile Safari/537.36"	"telecentro-5867"	a0:8e:78:66:58:6c	69yh5d05ct8y	2020-03-23	ce:e1:65:7e:5d:45	
94541B933C33D49C1D0ACE982FC2BFDD12EC8873	1584924488	-34.441452	-58.908638	0	0	181.46.143.13	FE80::CCE1:65FF:FE7E:5D45	AR	"Mozilla/5.0 (Linux; Android 7.0; Moto G (4) Build/NPJS25.934-8.1-9; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/80.0.3987.132 Mobile Safari/537.36"	"telecentro-5867"	a0:8e:78:66:58:6c	69yh5d0h10pj	2020-03-23	ce:e1:65:7e:5d:45	
